Adolphs, R.
Karch, C.M.
Kaufmann, W.E.
Kaup, A.R.
Kennedy, D.
Khan, A.
Khan, S.
Killiany, R.J.
Kim, J.
Kliemann, D.
Kolasny, A.
Kouri, N.
Kremen, W.S.
Kubarych, T.S.
Kulseng, S.
Kuperberg, G.R.
Larsson, H.B.
Larvie, M.
Leahy, R.M.
Lee, P.H.
Lee, S.Y.
Leurgans, S.E.
Li, J.
Liu, H.
Lorenz, S.
Lundervold, A.
Lupien, S.J.
Lyons, M.J.
Magnain, C.
Makris, N.
Marks, D.
Marshall, G.A.
Martinussen, M.
Martis, B.
Mattay, V.S.
Maye, J.
McGuire, P.K.
McMullin, K.G.
Mendoza, S.P.
Meyer-Lindenberg, A.
Milad, M.R.
Miller, B.L.
Miller, M.I.
Mohlberg, H.
Momeni, P.
Morris, J.C.
Morris, S.
Mostofsky, S.H.
Müller, U.
Nair, R.
Neale, M.C.
Ngo, G.H.
Orr, S.P.
Ozawa, F.
Ozyurt, I.B.
Pacheco, J.
Panizzon, M.S.
Panneck, P.
Pappu, V.
Park, Y.
Paul, L.K.
Perry, M.E.
Pezawas, L.
Phelps, E.A.
Pitman, R.K.
Polimeni, J.R.
Postelnicu, G.M.
Potthast, A.
Priebe, C.E.
Prince, J.L.
Prom-Wormley, E.C.
Putcha, D.
Qiu, A.
Quinn, B.T.
Quirk, G.J.
Rabinovici, G.D.
Rademakers, R.
Rajendran, N.
Ranta, M.E.
Ratnanather, J.T.
Rauch, S.L.
Raz, N.
Reinvang, I.
Rentz, D.M.
Reuter, M.
Rex, D.E.
Rimol, L.M.
Rinker, D.A.
Rockland, K.S.
Rosas, H.D.
Rosen, B.R.
Rosen, H.J.
Ross, O.A.
Sabuncu, M.R.
Sailer, M.
Sakadžić, S.
Salat, D.H.
Salloway, S.
Schellenberg, G.D.
Schmansky, N.J.
Schmitt, J.E.
Schwartz, E.L.
Schönfeld, M.A.
Seeley, W.W.
Segonne, F.
Seidman, L.J.
Sepulcre, J.
Sereno, M.I.
Shattuck, D.W.
Shin, L.M.
Skranes, J.
Sliva, D.D.
Smoller, J.W.
Snyder, A.Z.
Sperling, R.A.
Spiridon, M.
Spitzer, N.C.
Srinivasan, P.
Stein, T.D.
Stern, M.E.
Stevens, A.A.
Stigliani, A.
Subramaniam, K.
Sugrue, L.P.
Ségonne, F.
Tempelmann, C.
Thaker, A.A.
Thermenos, H.W.
Thompson, W.K.
Thompson, W.R.
Tirrell, L.
Toga, A.W.
Tootell, R.B.H.
Tsuang, M.T.
Tuch, D.S.
Tyszka, J.M.
Van Der Kouwe, A.J.W.
Van Leemput, K.
Van der Kouwe, A.J.W.
Vangberg, T.R.
Varadarajan, D.
Verchinski, B.A.
Vik, T.
Vuoksimaa, E.
Wachinger, C.
Wald, L.L.
Walhovd, K.B.
Wang, H.
Wang, L.
Wang, R.
Wang, Y.
Weinberg, B.D.
Weinberger, D.R.
Weiner, K.S.
Weiner, M.W.
West, W.C.
Westlye, L.T.
Wiggins, C.J.
Wiggins, G.C.
Williams, S.C.R.
Wright, C.I.
Wu, J.
Xian, H.
Yendiki, A.
Yeo, B.T.T.
Yokoyama, J.S.
Yu, P.
Zaleta, A.K.
Zilles, K.
Zoltick, B.
Zou, K.H.
Zöllei, L.
van der Kouwe, A.J.W.
